,Country,Region,Happiness Score,Logged GDP per capita
0,Finland,Western Europe,7.808700085,10.63926697
1,Denmark,Western Europe,7.645599842,10.77400112
2,Switzerland,Western Europe,7.559899807000001,10.97993279
3,Iceland,Western Europe,7.504499912000001,10.77255917
4,Norway,Western Europe,7.487999916000001,11.08780384
5,Netherlands,Western Europe,7.448900223,10.81271172
6,Sweden,Western Europe,7.353499889,10.75879383
7,New Zealand,North America and ANZ,7.2996001239999995,10.50094318
8,Austria,Western Europe,7.294199944,10.7428236
9,Luxembourg,Western Europe,7.2375001910000005,11.45068073
10,Canada,North America and ANZ,7.23210001,10.69236851
11,Australia,North America and ANZ,7.222799778,10.72059631
12,United Kingdom,Western Europe,7.164500237,10.60013485
13,Israel,Middle East and North Africa,7.128600121,10.41752529
14,Costa Rica,Latin America and Caribbean,7.121399879,9.658156395
15,Ireland,Western Europe,7.093699932000001,11.16097832
16,Germany,Western Europe,7.075799942000001,10.7328186
17,United States,North America and ANZ,6.939599991000001,10.92576885
18,Czech Republic,Central and Eastern Europe,6.9109001160000005,10.40416336
19,Belgium,Western Europe,6.863500117999999,10.673639300000001
20,United Arab Emirates,Middle East and North Africa,6.790800095,11.1099987
21,Malta,Western Europe,6.772799968999999,10.53383827
22,France,Western Europe,6.663799762999999,10.58422279
23,Mexico,Latin America and Caribbean,6.465000152999999,9.797797203
24,Taiwan Province of China,East Asia,6.45539999,10.77568531
25,Uruguay,Latin America and Caribbean,6.440100192999999,9.948192596
26,Saudi Arabia,Middle East and North Africa,6.406499863,10.79781246
27,Spain,Western Europe,6.4008998870000005,10.46292686
28,Guatemala,Latin America and Caribbean,6.398900032,8.924805641
29,Italy,Western Europe,6.38740015,10.48183632
30,Singapore,Southeast Asia,6.377099991000001,11.39552116
31,Brazil,Latin America and Caribbean,6.375599861,9.56643486
32,Slovenia,Central and Eastern Europe,6.363399982000001,10.39232254
33,El Salvador,Latin America and Caribbean,6.34829998,8.909075737
34,Kosovo,Central and Eastern Europe,6.325200081,9.204429626
35,Panama,Latin America and Caribbean,6.304800033999999,10.03423405
36,Slovakia,Central and Eastern Europe,6.280600071,10.34774971
37,Uzbekistan,Commonwealth of Independent States,6.257599831,8.740371704
38,Chile,Latin America and Caribbean,6.228499889,10.0320549
39,Bahrain,Middle East and North Africa,6.227300167,10.67638016
40,Lithuania,Central and Eastern Europe,6.215499877999999,10.34362602
41,Trinidad and Tobago,Latin America and Caribbean,6.1918997760000005,10.26000214
42,Poland,Central and Eastern Europe,6.1862998010000005,10.26512432
43,Colombia,Latin America and Caribbean,6.163400172999999,9.500369072
44,Cyprus,Western Europe,6.15899992,10.40570259
45,Nicaragua,Latin America and Caribbean,6.13710022,8.493160247999999
46,Romania,Central and Eastern Europe,6.123700142000001,10.107584
47,Kuwait,Middle East and North Africa,6.102099895,11.08982468
48,Mauritius,Sub-Saharan Africa,6.101299762999999,9.956786156
49,Kazakhstan,Commonwealth of Independent States,6.0578999520000005,10.11465836
50,Estonia,Central and Eastern Europe,6.0218000410000005,10.34001732
51,Philippines,Southeast Asia,6.006000042,8.993545532
52,Hungary,Central and Eastern Europe,6.000400066,10.24924374
53,Thailand,Southeast Asia,5.9987998010000005,9.741791725
54,Argentina,Latin America and Caribbean,5.974699974,9.810955048
55,Honduras,Latin America and Caribbean,5.953199862999999,8.424534798
56,Latvia,Central and Eastern Europe,5.9499998089999995,10.17531967
57,Ecuador,Latin America and Caribbean,5.925199986,9.246058463999999
58,Portugal,Western Europe,5.9109001160000005,10.26374245
59,Jamaica,Latin America and Caribbean,5.889800072000001,9.006250381000001
60,South Korea,East Asia,5.872399807000001,10.51056671
61,Japan,East Asia,5.870800018,10.57968903
62,Peru,Latin America and Caribbean,5.796800137000001,9.456313133
63,Serbia,Central and Eastern Europe,5.77820015,9.680980682000001
64,Bolivia,Latin America and Caribbean,5.747499942999999,8.851115227000001
65,Pakistan,South Asia,5.69329977,8.482727051
66,Paraguay,Latin America and Caribbean,5.6921000479999995,9.389982224
67,Dominican Republic,Latin America and Caribbean,5.6891999239999995,9.664880753
68,Bosnia and Herzegovina,Central and Eastern Europe,5.674099922000001,9.455817223
69,Moldova,Commonwealth of Independent States,5.607500076,8.776714325
70,Tajikistan,Commonwealth of Independent States,5.555699825,8.024810791
71,Montenegro,Central and Eastern Europe,5.54610014,9.751860619
72,Russia,Commonwealth of Independent States,5.546000004,10.12887192
73,Kyrgyzstan,Commonwealth of Independent States,5.541500092000001,8.148405075
74,Belarus,Commonwealth of Independent States,5.539899826,9.779945374
75,North Cyprus,Western Europe,5.53550005,10.40570259
76,Greece,Western Europe,5.514999866,10.13232613
77,Hong Kong S.A.R. of China,East Asia,5.510399818,10.934671400000001
78,Croatia,Central and Eastern Europe,5.504700184,10.07087517
79,Libya,Middle East and North Africa,5.488800049,9.789815903
80,Mongolia,East Asia,5.4562001229999995,9.412186623
81,Malaysia,Southeast Asia,5.384300232,10.26251888
82,Vietnam,Southeast Asia,5.353499889,8.809545517
83,Indonesia,Southeast Asia,5.285600185,9.36975193
84,Ivory Coast,Sub-Saharan Africa,5.233300208999999,8.225561142
85,Benin,Sub-Saharan Africa,5.21600008,7.674319744
86,Maldives,South Asia,5.197599888,9.518632889
87,Congo (Brazzaville),Sub-Saharan Africa,5.1943998339999995,8.536987305
88,Azerbaijan,Commonwealth of Independent States,5.164800167,9.687726974
89,Macedonia,Central and Eastern Europe,5.1598000530000006,9.510591507000001
90,Ghana,Sub-Saharan Africa,5.1479997630000005,8.350645065
91,Nepal,South Asia,5.137199879,7.925357342000001
92,Turkey,Middle East and North Africa,5.131800175,10.12941933
93,China,East Asia,5.123899937,9.688568115
94,Turkmenistan,Commonwealth of Independent States,5.119100093999999,9.74803257
95,Bulgaria,Central and Eastern Europe,5.101500034,9.869318962000001
96,Morocco,Middle East and North Africa,5.094799995,8.940313339
97,Cameroon,Sub-Saharan Africa,5.084899902,8.118647575
98,Venezuela,Latin America and Caribbean,5.053199768,8.977793693999999
99,Algeria,Middle East and North Africa,5.005099773,9.537964821000001
100,Senegal,Sub-Saharan Africa,4.980800152,8.118982315
101,Guinea,Sub-Saharan Africa,4.949299812,7.750990391
102,Niger,Sub-Saharan Africa,4.909599781,6.842166901000001
103,Laos,Southeast Asia,4.888599873,8.79858017
104,Albania,Central and Eastern Europe,4.882699966000001,9.417930603
105,Cambodia,Southeast Asia,4.8484001160000005,8.249890327000001
106,Bangladesh,South Asia,4.832799911,8.287063599
107,Gabon,Sub-Saharan Africa,4.829299927,9.680537224
108,South Africa,Sub-Saharan Africa,4.814099789,9.403370857
109,Iraq,Middle East and North Africa,4.7848000530000006,9.661095619
110,Lebanon,Middle East and North Africa,4.771500111,9.3617239
111,Burkina Faso,Sub-Saharan Africa,4.768700123,7.46854496
112,Gambia,Sub-Saharan Africa,4.750599861,7.321814537000001
113,Mali,Sub-Saharan Africa,4.729300021999999,7.629852295
114,Nigeria,Sub-Saharan Africa,4.724100113,8.57662487
115,Armenia,Commonwealth of Independent States,4.676799774,9.100476265
116,Georgia,Commonwealth of Independent States,4.672599792,9.226100922
117,Iran,Middle East and North Africa,4.672399998,9.813719749
118,Jordan,Middle East and North Africa,4.6333999630000005,9.025999069
119,Mozambique,Sub-Saharan Africa,4.623600006,7.069345951
120,Kenya,Sub-Saharan Africa,4.583000183,8.02977562
121,Namibia,Sub-Saharan Africa,4.571100235,9.203141212
122,Ukraine,Commonwealth of Independent States,4.56069994,9.010690689
123,Liberia,Sub-Saharan Africa,4.557899952,7.054380417000001
124,Palestinian Territories,Middle East and North Africa,4.552800179,8.389223099
125,Uganda,Sub-Saharan Africa,4.43200016,7.500389576
126,Chad,Sub-Saharan Africa,4.422699928,7.467963696
127,Tunisia,Middle East and North Africa,4.392199993,9.314972877999999
128,Mauritania,Sub-Saharan Africa,4.374599934,8.233919144
129,Sri Lanka,South Asia,4.327000141,9.389969826
130,Congo (Kinshasa),Sub-Saharan Africa,4.31099987,6.694256306000001
131,Swaziland,Sub-Saharan Africa,4.3081002239999995,9.16267395
132,Myanmar,Southeast Asia,4.308000088,8.680481911000001
133,Comoros,Sub-Saharan Africa,4.288599968,7.833630085
134,Togo,Sub-Saharan Africa,4.187200069,7.357711315
135,Ethiopia,Sub-Saharan Africa,4.186200142,7.5093855860000005
136,Madagascar,Sub-Saharan Africa,4.165599823,7.281685829
137,Egypt,Middle East and North Africa,4.151400089,9.316541672
138,Sierra Leone,Sub-Saharan Africa,3.926399946,7.26880312
139,Burundi,Sub-Saharan Africa,3.775300026,6.492642403
140,Zambia,Sub-Saharan Africa,3.759399891,8.224720001
141,Haiti,Latin America and Caribbean,3.720799923,7.411329268999999
142,Lesotho,Sub-Saharan Africa,3.6528000830000003,7.9604883189999995
143,India,South Asia,3.573299885,8.849823952000001
144,Malawi,Sub-Saharan Africa,3.538000107,7.062226295
145,Yemen,Middle East and North Africa,3.5274000169999997,7.759682655
146,Botswana,Sub-Saharan Africa,3.4788999560000002,9.711203575
147,Tanzania,Sub-Saharan Africa,3.4762001039999997,7.967665195
148,Central African Republic,Sub-Saharan Africa,3.475899935,6.625160217
149,Rwanda,Sub-Saharan Africa,3.312299967,7.600104332000001
150,Zimbabwe,Sub-Saharan Africa,3.2992000580000003,7.865711688999999
151,South Sudan,Sub-Saharan Africa,2.8166000839999996,7.425359726
152,Afghanistan,South Asia,2.566900015,7.4628605839999995
